product_id,product_name,brand,product_form,ingredient_position,raw_ingredient,normalized_ingredient
P00001,cerave moisturizing cream,cerave,cream,1,AQUA / WATER / EAU,water
P00001,cerave moisturizing cream,cerave,cream,2,GLYCERIN,glycerin
P00001,cerave moisturizing cream,cerave,cream,3,CETEARYL ALCOHOL,cetearyl alcohol
P00001,cerave moisturizing cream,cerave,cream,4,CAPRYLIC/CAPRIC TRIGLYCERIDE,caprylic/capric triglyceride
P00001,cerave moisturizing cream,cerave,cream,5,CETYL ALCOHOL,cetyl alcohol
P00001,cerave moisturizing cream,cerave,cream,6,CETEARETH-20,ceteareth-20
P00001,cerave moisturizing cream,cerave,cream,7,PETROLATUM,petrolatum
P00001,cerave moisturizing cream,cerave,cream,8,POTASSIUM PHOSPHATE,potassium phosphate
P00001,cerave moisturizing cream,cerave,cream,9,CERAMIDE NP,ceramide np
P00001,cerave moisturizing cream,cerave,cream,10,CERAMIDE AP,ceramide ap
P00001,cerave moisturizing cream,cerave,cream,11,CERAMIDE EOP,ceramide eop
P00001,cerave moisturizing cream,cerave,cream,12,CARBOMER,carbomer
P00001,cerave moisturizing cream,cerave,cream,13,DIMETHICONE,dimethicone
P00001,cerave moisturizing cream,cerave,cream,14,BEHENTRIMONIUM METHOSULFATE,behentrimonium methosulfate
P00001,cerave moisturizing cream,cerave,cream,15,SODIUM LAUROYL LACTYLATE,sodium lauroyl lactylate
P00001,cerave moisturizing cream,cerave,cream,16,SODIUM HYALURONATE,sodium hyaluronate
P00001,cerave moisturizing cream,cerave,cream,17,CHOLESTEROL,cholesterol
P00001,cerave moisturizing cream,cerave,cream,18,PHENOXYETHANOL,phenoxyethanol
P00001,cerave moisturizing cream,cerave,cream,19,DISODIUM EDTA,disodium edta
P00001,cerave moisturizing cream,cerave,cream,20,DIPOTASSIUM PHOSPHATE,dipotassium phosphate
P00001,cerave moisturizing cream,cerave,cream,21,TOCOPHEROL,tocopherol
P00001,cerave moisturizing cream,cerave,cream,22,PHYTOSPHINGOSINE,phytosphingosine
P00001,cerave moisturizing cream,cerave,cream,23,XANTHAN GUM,xanthan gum
P00001,cerave moisturizing cream,cerave,cream,24,ETHYLHEXYLGLYCERIN,ethylhexylglycerin
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,1,Water,water
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,2,Dicaprylyl Carbonate,dicaprylyl carbonate
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,3,Ethylhexyl Stearate,ethylhexyl stearate
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,4,Glycerin,glycerin
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,5,Cocoglycerides,cocoglycerides
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,6,Squalane,squalane
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,7,Sodium Polyacrylate,sodium polyacrylate
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,8,Butyrospermum Parkii Butter,butyrospermum parkii butter
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,9,Ceramide NP,ceramide np
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,10,Ceramide AP,ceramide ap
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,11,Ceramide AS,ceramide as
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,12,Ceramide NS,ceramide ns
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,13,Ceramide EOP,ceramide eop
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,14,Sodium Hyaluronate,sodium hyaluronate
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,15,Adenosine,adenosine
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,16,Palmitoyl Tripeptide-5,palmitoyl tripeptide-5
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,17,Citrullus Lanatus (Watermelon) Seed Oil,citrullus lanatus (watermelon) seed oil
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,18,Glyceryl Stearate,glyceryl stearate
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,19,Caprylyl Glycol,caprylyl glycol
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,20,Hydroxyacetophenone,hydroxyacetophenone
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,21,Sodium Stearoyl Glutamate,sodium stearoyl glutamate
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,22,Hexylene Glycol,hexylene glycol
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,23,Tocopherol,tocopherol
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,24,"2,3-Butanediol","2,3-butanediol"
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,25,Xanthan Gum,xanthan gum
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,26,Ethylhexylglycerin,ethylhexylglycerin
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,27,Sodium Phytate,sodium phytate
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,28,Sodium PCA,sodium pca
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,29,Urea,urea
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,30,Hydrogenated Lecithin,hydrogenated lecithin
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,31,Trehalose,trehalose
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,32,Polyquaternium-51,polyquaternium-51
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,33,Triacetin,triacetin
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,34,Cholesterol,cholesterol
P00002,paula’s choice resist barrier repair advanced moisturizer,paula’s choice,cream,35,Phenoxyethanol,phenoxyethanol
P00003,vanicream daily facial moisturizer,vanicream,lotion,1,water,water
P00003,vanicream daily facial moisturizer,vanicream,lotion,2,squalane,squalane
P00003,vanicream daily facial moisturizer,vanicream,lotion,3,glycerin,glycerin
P00003,vanicream daily facial moisturizer,vanicream,lotion,4,pentylene glycol,pentylene glycol
P00003,vanicream daily facial moisturizer,vanicream,lotion,5,polyglyceryl-2 stearate,polyglyceryl-2 stearate
P00003,vanicream daily facial moisturizer,vanicream,lotion,6,glyceryl stearate,glyceryl stearate
P00003,vanicream daily facial moisturizer,vanicream,lotion,7,stearyl alcohol,stearyl alcohol
P00003,vanicream daily facial moisturizer,vanicream,lotion,8,hyaluronic acid,hyaluronic acid
P00003,vanicream daily facial moisturizer,vanicream,lotion,9,ceramide EOP,ceramide eop
P00003,vanicream daily facial moisturizer,vanicream,lotion,10,ceramide NG,ceramide ng
P00003,vanicream daily facial moisturizer,vanicream,lotion,11,ceramide NP,ceramide np
P00003,vanicream daily facial moisturizer,vanicream,lotion,12,ceramide AS,ceramide as
P00003,vanicream daily facial moisturizer,vanicream,lotion,13,ceramide AP,ceramide ap
P00003,vanicream daily facial moisturizer,vanicream,lotion,14,carnosine,carnosine
P00003,vanicream daily facial moisturizer,vanicream,lotion,15,hydrogenated lecithin,hydrogenated lecithin
P00003,vanicream daily facial moisturizer,vanicream,lotion,16,phytosterols,phytosterols
P00003,vanicream daily facial moisturizer,vanicream,lotion,17,caprylyl glycol,caprylyl glycol
P00003,vanicream daily facial moisturizer,vanicream,lotion,18,polyacrylate crosspolymer-11,polyacrylate crosspolymer-11
P00003,vanicream daily facial moisturizer,vanicream,lotion,19,"1,2-hexanediol","1,2-hexanediol"
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,1,AQUA / WATER,water
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,2,DICAPRYLYL CARBONATE,dicaprylyl carbonate
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,3,BUTYLENE GLYCOL,butylene glycol
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,4,ISODECYL NEOPENTANOATE,isodecyl neopentanoate
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,5,SYNTHETIC WAX,synthetic wax
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,6,DIMETHICONE,dimethicone
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,7,CERA MICROCRISTALLINA / MICROCRYSTALLINE WAX,microcrystalline wax
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,8,GLYCERIN,glycerin
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,9,NIACINAMIDE,niacinamide
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,10,LAURYL PEG-8 DIMETHICONE,lauryl peg-8 dimethicone
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,11,SODIUM CHLORIDE,sodium chloride
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,12,DIPROPYLENE GLYCOL,dipropylene glycol
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,13,TREHALOSE,trehalose
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,14,"1,2-HEXANEDIOL","1,2-hexanediol"
