ingredient_id,canonical_name,observed_raw_variants,normalization_methods,normalizer_version
1,"1,2-hexanediol","1,2-HEXANEDIOL | 1,2-Hexanediol | 1,2-hexanediol",case_whitespace,v5
2,1-methylhydantoin-2-imide,1-Methylhydantoin-2-Imide,case_whitespace,v5
3,"2,3-butanediol","2,3-Butanediol",case_whitespace,v5
4,2-o-ethyl ascorbic acid,2-O-ETHYL ASCORBIC ACID,case_whitespace,v5
5,3-o-ethyl ascorbic acid,3-O-ETHYL ASCORBIC ACID | 3-O-Ethyl Ascorbic Acid,case_whitespace,v5
6,4-t-butylcyclohexanol (trans-isomer),4-t-Butylcyclohexanol (Trans-Isomer),case_whitespace,v5
7,4-terpineol,4-Terpineol,case_whitespace,v5
8,abies sibirica oil,Abies Sibirica Oil,case_whitespace,v5
9,acetyl glutamine,Acetyl Glutamine,case_whitespace,v5
10,acetyl tetrapeptide-2,Acetyl Tetrapeptide-2,case_whitespace,v5
11,acetylated glycol stearate,ACETYLATED GLYCOL STEARATE,case_whitespace,v5
12,acrylamide/sodium acryloyldimethyltaurate copolymer,Acrylamide/Sodium Acryloyldimethyltaurate Copolymer,case_whitespace,v5
13,acrylates/c10-30 alkyl acrylate crosspolymer,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER | Acrylates/C10-30 Alkyl Acrylate Crosspolymer | Acrylates/c10-30 Alkyl Acrylate Crosspolymer,case_whitespace,v5
14,adenosine,ADENOSINE | Adenosine,case_whitespace,v5
15,agar,agar,case_whitespace,v5
16,alanine,Alanine,case_whitespace,v5
17,alchemilla vulgaris leaf extract,Alchemilla Vulgaris Leaf Extract,case_whitespace,v5
18,alcohol,ALCOHOL,case_whitespace,v5
19,alcohol denat,ALCOHOL DENAT | Alcohol Denat,case_whitespace,v5
20,algae extract,Algae Extract,case_whitespace,v5
21,allantoin,Allantoin | allantoin,case_whitespace,v5
22,aloe barbadensis leaf juice,Aloe Barbadensis Leaf Juice,case_whitespace,v5
23,aloe barbadensis leaf juice powder,ALOE BARBADENSIS LEAF JUICE POWDER | aloe barbadensis leaf juice powder,case_whitespace,v5
24,alpha-glucan,alpha-glucan,case_whitespace,v5
25,alpha-glucan oligosaccharide,ALPHA-GLUCAN OLIGOSACCHARIDE,case_whitespace,v5
26,alpinia speciosa leaf extract,ALPINIA SPECIOSA LEAF EXTRACT,case_whitespace,v5
27,aluminum distearate,Aluminum Distearate,case_whitespace,v5
28,aluminum hydroxide,ALUMINUM HYDROXIDE,case_whitespace,v5
29,aluminum starch octenylsuccinate,ALUMINUM STARCH OCTENYLSUCCINATE | Aluminum Starch Octenylsuccinate,case_whitespace,v5
